,Movie Name,Director Name,Stars,Movie Rating,Release Date
26,Sen to Chihiro no kamikakushi,Hayao Miyazaki ," Daveigh Chase, Suzanne Pleshette",8.5,2001
27,The Green Mile,Frank Darabont ," Tom Hanks, Michael Clarke Duncan",8.5,1999
28,Interstellar,Christopher Nolan ," Matthew McConaughey, Anne Hathaway",8.5,2014
29,Gisaengchung,Bong Joon Ho ," Kang-ho Song, Sun-kyun Lee",8.5,2019
30,Léon,Luc Besson ," Jean Reno, Gary Oldman",8.5,1994
31,Seppuku,Masaki Kobayashi ," Tatsuya Nakadai, Akira Ishihama",8.5,1962
32,The Usual Suspects,Bryan Singer ," Kevin Spacey, Gabriel Byrne",8.5,1995
33,The Pianist,Roman Polanski ," Adrien Brody, Thomas Kretschmann",8.5,2002
34,Back to the Future,Robert Zemeckis ," Michael J. Fox, Christopher Lloyd",8.5,1985
35,Terminator 2: Judgment Day,James Cameron ," Arnold Schwarzenegger, Linda Hamilton",8.5,1991
36,Modern Times,Charles Chaplin ," Charles Chaplin, Paulette Goddard",8.5,1936
37,Psycho,Alfred Hitchcock ," Anthony Perkins, Janet Leigh",8.5,1960
38,The Lion King,Roger Allers ," Matthew Broderick, Jeremy Irons",8.5,1994
39,American History X,Tony Kaye ," Edward Norton, Edward Furlong",8.5,1998
40,City Lights,Charles Chaplin ," Charles Chaplin, Virginia Cherrill",8.5,1931
41,Gladiator,Ridley Scott ," Russell Crowe, Joaquin Phoenix",8.5,2000
42,The Departed,Martin Scorsese ," Leonardo DiCaprio, Matt Damon",8.5,2006
43,Whiplash,Damien Chazelle ," Miles Teller, J.K. Simmons",8.5,2014
44,Hotaru no haka,Isao Takahata ," Tsutomu Tatsumi, Ayano Shiraishi",8.5,1988
45,The Intouchables,Olivier Nakache ," François Cluzet, Omar Sy",8.5,2011
46,The Prestige,Christopher Nolan ," Christian Bale, Hugh Jackman",8.5,2006
47,Casablanca,Michael Curtiz ," Humphrey Bogart, Ingrid Bergman",8.4,1942
48,Once Upon a Time in the West,Sergio Leone ," Henry Fonda, Charles Bronson",8.4,1968
49,Rear Window,Alfred Hitchcock ," James Stewart, Grace Kelly",8.4,1954
50,Nuovo Cinema Paradiso,Giuseppe Tornatore ," Philippe Noiret, Enzo Cannavale",8.4,1988
51,Alien,Ridley Scott ," Sigourney Weaver, Tom Skerritt",8.4,1979
52,Apocalypse Now,Francis Ford Coppola ," Martin Sheen, Marlon Brando",8.4,1979
53,Memento,Christopher Nolan ," Guy Pearce, Carrie-Anne Moss",8.4,2000
54,Raiders of the Lost Ark,Steven Spielberg ," Harrison Ford, Karen Allen",8.4,1981
55,The Great Dictator,Charles Chaplin ," Charles Chaplin, Paulette Goddard",8.4,1940
56,The Lives of Others,Florian Henckel von Donnersmarck ," Ulrich Mühe, Martina Gedeck",8.4,2006
57,Django Unchained,Quentin Tarantino ," Jamie Foxx, Christoph Waltz",8.4,2012
58,Paths of Glory,Stanley Kubrick ," Kirk Douglas, Ralph Meeker",8.4,1957
59,Sunset Blvd.,Billy Wilder ," William Holden, Gloria Swanson",8.4,1950
60,WALL·E,Andrew Stanton ," Ben Burtt, Elissa Knight",8.4,2008
61,The Shining,Stanley Kubrick ," Jack Nicholson, Shelley Duvall",8.4,1980
62,Joker,Todd Phillips ," Joaquin Phoenix, Robert De Niro",8.4,2019
63,Avengers: Infinity War,Anthony Russo ," Robert Downey Jr., Chris Hemsworth",8.4,2018
64,Witness for the Prosecution,Billy Wilder ," Tyrone Power, Marlene Dietrich",8.4,1957
65,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick ," Peter Sellers, George C. Scott",8.4,1964
66,Spider-Man: Into the Spider-Verse,Bob Persichetti ," Shameik Moore, Jake Johnson",8.3,2018
67,Mononoke-hime,Hayao Miyazaki ," Yôji Matsuda, Yuriko Ishida",8.3,1997
68,Oldeuboi,Chan-wook Park ," Choi Min-sik, Yoo Ji-Tae",8.3,2003
69,Hamilton,Thomas Kail ," Lin-Manuel Miranda, Phillipa Soo",8.3,2020
70,Once Upon a Time in America,Sergio Leone ," Robert De Niro, James Woods",8.3,1984
71,Kimi no na wa.,Makoto Shinkai ," Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,2016
72,The Dark Knight Rises,Christopher Nolan ," Christian Bale, Tom Hardy",8.3,2012
73,Aliens,James Cameron ," Sigourney Weaver, Michael Biehn",8.3,1986
74,Coco,Lee Unkrich ," Anthony Gonzalez, Gael García Bernal",8.3,2017
75,Das Boot,Wolfgang Petersen ," Jürgen Prochnow, Herbert Grönemeyer",8.3,1981
76,Capharnaüm,Nadine Labaki ," Zain Al Rafeea, Yordanos Shiferaw",8.3,2018
77,Avengers: Endgame,Anthony Russo ," Robert Downey Jr., Chris Evans",8.3,2019
78,Tengoku to jigoku,Akira Kurosawa ," Toshirô Mifune, Yutaka Sada",8.3,1963
79,American Beauty,Sam Mendes ," Kevin Spacey, Annette Bening",8.3,1999
80,Toy Story,John Lasseter ," Tom Hanks, Tim Allen",8.3,1995
81,Braveheart,Mel Gibson ," Mel Gibson, Sophie Marceau",8.3,1995
82,Amadeus,Milos Forman ," F. Murray Abraham, Tom Hulce",8.3,1984
83,3 Idiots,Rajkumar Hirani ," Aamir Khan, Madhavan",8.3,2009
84,Inglourious Basterds,Quentin Tarantino ," Brad Pitt, Diane Kruger",8.3,2009
85,Good Will Hunting,Gus Van Sant ," Robin Williams, Matt Damon",8.3,1997
86,Star Wars: Episode VI - Return of the Jedi,Richard Marquand ," Mark Hamill, Harrison Ford",8.3,1983
87,2001: A Space Odyssey,Stanley Kubrick ," Keir Dullea, Gary Lockwood",8.3,1968
88,Reservoir Dogs,Quentin Tarantino ," Harvey Keitel, Tim Roth",8.3,1992
89,M - Eine Stadt sucht einen Mörder,Fritz Lang ," Peter Lorre, Ellen Widmann",8.3,1931
90,Taare Zameen Par,Aamir Khan ," Darsheel Safary, Aamir Khan",8.3,2007
91,Citizen Kane,Orson Welles ," Orson Welles, Joseph Cotten",8.3,1941
92,Vertigo,Alfred Hitchcock ," James Stewart, Kim Novak",8.3,1958
93,Requiem for a Dream,Darren Aronofsky ," Ellen Burstyn, Jared Leto",8.3,2000
94,Jagten,Thomas Vinterberg ," Mads Mikkelsen, Thomas Bo Larsen",8.3,2012
95,Singin' in the Rain,Stanley Donen ," Gene Kelly, Donald O'Connor",8.3,1952
96,North by Northwest,Alfred Hitchcock ," Cary Grant, Eva Marie Saint",8.3,1959
97,Eternal Sunshine of the Spotless Mind,Michel Gondry ," Jim Carrey, Kate Winslet",8.3,2004
98,Idi i smotri,Elem Klimov ," Aleksey Kravchenko, Olga Mironova",8.3,1985
99,Ladri di biciclette,Vittorio De Sica ," Lamberto Maggiorani, Enzo Staiola",8.3,1948
100,Ikiru,Akira Kurosawa ," Takashi Shimura, Nobuo Kaneko",8.3,1952
101,Lawrence of Arabia,David Lean ," Peter O'Toole, Alec Guinness",8.2,1962
102,The Father,Florian Zeller ," Anthony Hopkins, Olivia Colman",8.2,2020
103,The Kid,Charles Chaplin ," Charles Chaplin, Edna Purviance",8.2,1921
104,Full Metal Jacket,Stanley Kubrick ," Matthew Modine, R. Lee Ermey",8.2,1987
105,Dangal,Nitesh Tiwari ," Aamir Khan, Sakshi Tanwar",8.2,2016
106,A Clockwork Orange,Stanley Kubrick ," Malcolm McDowell, Patrick Magee",8.2,1971
107,Taxi Driver,Martin Scorsese ," Robert De Niro, Jodie Foster",8.2,1976
108,Metropolis,Fritz Lang ," Brigitte Helm, Alfred Abel",8.2,1927
109,The Sting,George Roy Hill ," Paul Newman, Robert Redford",8.2,1973
110,1917,Sam Mendes ," Dean-Charles Chapman, George MacKay",8.2,2019
111,Double Indemnity,Billy Wilder ," Fred MacMurray, Barbara Stanwyck",8.2,1944
112,Amélie,Jean-Pierre Jeunet ," Audrey Tautou, Mathieu Kassovitz",8.2,2001
113,The Apartment,Billy Wilder ," Jack Lemmon, Shirley MacLaine",8.2,1960
114,Jodaeiye Nader az Simin,Asghar Farhadi ," Payman Maadi, Leila Hatami",8.2,2011
115,Snatch,Guy Ritchie ," Jason Statham, Brad Pitt",8.2,2000
116,Incendies,Denis Villeneuve ," Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,2010
117,Scarface,Brian De Palma ," Al Pacino, Michelle Pfeiffer",8.2,1983
118,Toy Story 3,Lee Unkrich ," Tom Hanks, Tim Allen",8.2,2010
119,To Kill a Mockingbird,Robert Mulligan ," Gregory Peck, John Megna",8.2,1962
120,Per qualche dollaro in più,Sergio Leone ," Clint Eastwood, Lee Van Cleef",8.2,1965
121,Up,Pete Docter ," Edward Asner, Jordan Nagai",8.2,2009
122,Indiana Jones and the Last Crusade,Steven Spielberg ," Harrison Ford, Sean Connery",8.2,1989
123,L.A. Confidential,Curtis Hanson ," Kevin Spacey, Russell Crowe",8.2,1997
124,Rashomon,Akira Kurosawa ," Toshirô Mifune, Machiko Kyô",8.2,1950
125,Heat,Michael Mann ," Al Pacino, Robert De Niro",8.2,1995
126,Yojinbo,Akira Kurosawa ," Toshirô Mifune, Eijirô Tôno",8.2,1961
127,Die Hard,John McTiernan ," Bruce Willis, Alan Rickman",8.2,1988
128,Ran,Akira Kurosawa ," Tatsuya Nakadai, Akira Terao",8.2,1985
129,Monty Python and the Holy Grail,Terry Gilliam ," Graham Chapman, John Cleese",8.2,1975
130,Green Book,Peter Farrelly ," Viggo Mortensen, Mahershala Ali",8.2,2018
131,Der Untergang,Oliver Hirschbiegel ," Bruno Ganz, Alexandra Maria Lara",8.2,2004
132,Batman Begins,Christopher Nolan ," Christian Bale, Michael Caine",8.2,2005
133,Some Like It Hot,Billy Wilder ," Marilyn Monroe, Tony Curtis",8.2,1959
134,All About Eve,Joseph L. Mankiewicz ," Bette Davis, Anne Baxter",8.2,1950
135,Unforgiven,Clint Eastwood ," Clint Eastwood, Gene Hackman",8.2,1992
136,Bacheha-Ye aseman,Majid Majidi ," Mohammad Amir Naji, Amir Farrokh Hashemian",8.2,1997
137,Hauru no ugoku shiro,Hayao Miyazaki ," Chieko Baishô, Takuya Kimura",8.2,2004
138,The Great Escape,John Sturges ," Steve McQueen, James Garner",8.2,1963
139,The Wolf of Wall Street,Martin Scorsese ," Leonardo DiCaprio, Jonah Hill",8.2,2013
140,Judgment at Nuremberg,Stanley Kramer ," Spencer Tracy, Burt Lancaster",8.2,1961
141,Casino,Martin Scorsese ," Robert De Niro, Sharon Stone",8.2,1995
142,Pan's Labyrinth,Guillermo del Toro ," Ivana Baquero, Ariadna Gil",8.2,2006
143,The Treasure of the Sierra Madre,John Huston ," Humphrey Bogart, Walter Huston",8.2,1948
144,A Beautiful Mind,Ron Howard ," Russell Crowe, Ed Harris",8.1,2001
145,There Will Be Blood,Paul Thomas Anderson ," Daniel Day-Lewis, Paul Dano",8.1,2007
146,El secreto de sus ojos,Juan José Campanella ," Ricardo Darín, Soledad Villamil",8.1,2009
147,Raging Bull,Martin Scorsese ," Robert De Niro, Cathy Moriarty",8.1,1980
148,Tonari no Totoro,Hayao Miyazaki ," Hitoshi Takagi, Noriko Hidaka",8.1,1988
149,Chinatown,Roman Polanski ," Jack Nicholson, Faye Dunaway",8.1,1974
150,"Lock, Stock and Two Smoking Barrels",Guy Ritchie ," Jason Flemyng, Dexter Fletcher",8.1,1998
151,The Gold Rush,Charles Chaplin ," Charles Chaplin, Mack Swain",8.1,1925
152,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh ," Frances McDormand, Woody Harrelson",8.1,2017
153,Dial M for Murder,Alfred Hitchcock ," Ray Milland, Grace Kelly",8.1,1954
154,No Country for Old Men,Ethan Coen ," Tommy Lee Jones, Javier Bardem",8.1,2007
155,Det sjunde inseglet,Ingmar Bergman ," Max von Sydow, Gunnar Björnstrand",8.1,1957
156,Shutter Island,Martin Scorsese ," Leonardo DiCaprio, Emily Mortimer",8.1,2010
157,The Elephant Man,David Lynch ," Anthony Hopkins, John Hurt",8.1,1980
158,The Thing,John Carpenter ," Kurt Russell, Wilford Brimley",8.1,1982
159,The Sixth Sense,M. Night Shyamalan ," Bruce Willis, Haley Joel Osment",8.1,1999
160,Inside Out,Pete Docter ," Amy Poehler, Bill Hader",8.1,2015
161,V for Vendetta,James McTeigue ," Hugo Weaving, Natalie Portman",8.1,2005
162,The Third Man,Carol Reed ," Orson Welles, Joseph Cotten",8.1,1949
163,Klaus,Sergio Pablos ," Jason Schwartzman, J.K. Simmons",8.1,2019
164,Blade Runner,Ridley Scott ," Harrison Ford, Rutger Hauer",8.1,1982
165,Babam ve Oglum,Cagan Irmak ," Eser Sariyar, Çetin Tekindor",8.1,2005
166,The Bridge on the River Kwai,David Lean ," William Holden, Alec Guinness",8.1,1957
167,Smultronstället,Ingmar Bergman ," Victor Sjöström, Bibi Andersson",8.1,1957
168,Trainspotting,Danny Boyle ," Ewan McGregor, Ewen Bremner",8.1,1996
169,Warrior,Gavin O'Connor ," Tom Hardy, Nick Nolte",8.1,2011
170,The Truman Show,Peter Weir ," Jim Carrey, Ed Harris",8.1,1998
171,Jurassic Park,Steven Spielberg ," Sam Neill, Laura Dern",8.1,1993
172,Fargo,Joel Coen ," William H. Macy, Frances McDormand",8.1,1996
173,Finding Nemo,Andrew Stanton ," Albert Brooks, Ellen DeGeneres",8.1,2003
174,Gone with the Wind,Victor Fleming ," Clark Gable, Vivien Leigh",8.1,1939
175,Salinui chueok,Bong Joon Ho ," Kang-ho Song, Kim Sang-kyung",8.1,2003
176,Tôkyô monogatari,Yasujirô Ozu ," Chishû Ryû, Chieko Higashiyama",8.1,1953
177,Kill Bill: Vol. 1,Quentin Tarantino ," Uma Thurman, David Carradine",8.1,2003
178,On the Waterfront,Elia Kazan ," Marlon Brando, Karl Malden",8.1,1954
179,Stalker,Andrei Tarkovsky ," Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.1,1979
180,The General,Clyde Bruckman ," Buster Keaton, Marion Mack",8.1,1926
181,The Deer Hunter,Michael Cimino ," Robert De Niro, Christopher Walken",8.1,1978
182,Relatos salvajes,Damián Szifron ," Darío Grandinetti, María Marull",8.1,2014
183,Gran Torino,Clint Eastwood ," Clint Eastwood, Bee Vang",8.1,2008
184,Sherlock Jr.,Buster Keaton ," Buster Keaton, Kathryn McGuire",8.1,1924
185,Room,Lenny Abrahamson ," Brie Larson, Jacob Tremblay",8.1,2015
186,The Grand Budapest Hotel,Wes Anderson ," Ralph Fiennes, F. Murray Abraham",8.1,2014
187,Mary and Max,Adam Elliot ," Toni Collette, Philip Seymour Hoffman",8.1,2009
188,Persona,Ingmar Bergman ," Bibi Andersson, Liv Ullmann",8.1,1966
189,Before Sunrise,Richard Linklater ," Ethan Hawke, Julie Delpy",8.1,1995
190,In the Name of the Father,Jim Sheridan ," Daniel Day-Lewis, Pete Postlethwaite",8.1,1993
191,Mr. Smith Goes to Washington,Frank Capra ," James Stewart, Jean Arthur",8.1,1939
192,Prisoners,Denis Villeneuve ," Hugh Jackman, Jake Gyllenhaal",8.1,2013
193,Gone Girl,David Fincher ," Ben Affleck, Rosamund Pike",8.1,2014
194,To Be or Not to Be,Ernst Lubitsch ," Carole Lombard, Jack Benny",8.1,1942
195,Catch Me If You Can,Steven Spielberg ," Leonardo DiCaprio, Tom Hanks",8.1,2002
196,Hacksaw Ridge,Mel Gibson ," Andrew Garfield, Sam Worthington",8.1,2016
197,Barry Lyndon,Stanley Kubrick ," Ryan O'Neal, Marisa Berenson",8.1,1975
198,The Big Lebowski,Joel Coen ," Jeff Bridges, John Goodman",8.1,1998
199,Andhadhun,Sriram Raghavan ," Ayushmann Khurrana, Tabu",8.1,2018
200,12 Years a Slave,Steve McQueen ," Chiwetel Ejiofor, Michael Kenneth Williams",8.1,2013
201,Ford v Ferrari,James Mangold ," Matt Damon, Christian Bale",8.1,2019
202,La passion de Jeanne d'Arc,Carl Theodor Dreyer ," Maria Falconetti, Eugene Silvain",8.1,1928
203,How to Train Your Dragon,Dean DeBlois ," Jay Baruchel, Gerard Butler",8.1,2010
204,Mad Max: Fury Road,George Miller ," Tom Hardy, Charlize Theron",8.1,2015
205,Le salaire de la peur,Henri-Georges Clouzot ," Yves Montand, Charles Vanel",8.1,1953
206,Million Dollar Baby,Clint Eastwood ," Hilary Swank, Clint Eastwood",8.1,2004
207,Ben-Hur,William Wyler ," Charlton Heston, Jack Hawkins",8.1,1959
208,Network,Sidney Lumet ," Faye Dunaway, William Holden",8.1,1976
209,Dead Poets Society,Peter Weir ," Robin Williams, Robert Sean Leonard",8.1,1989
210,Stand by Me,Rob Reiner ," Wil Wheaton, River Phoenix",8.1,1986
211,Höstsonaten,Ingmar Bergman ," Ingrid Bergman, Liv Ullmann",8.1,1978
212,Harry Potter and the Deathly Hallows: Part 2,David Yates ," Daniel Radcliffe, Emma Watson",8.1,2011
213,Cool Hand Luke,Stuart Rosenberg ," Paul Newman, George Kennedy",8.1,1967
214,Les quatre cents coups,François Truffaut ," Jean-Pierre Léaud, Albert Rémy",8.1,1959
215,Eskiya,Yavuz Turgul ," Sener Sen, Ugur Yücel",8.1,1996
216,Ah-ga-ssi,Chan-wook Park ," Kim Min-hee, Jung-woo Ha",8.1,2016
217,Logan,James Mangold ," Hugh Jackman, Patrick Stewart",8.0,2017
218,Platoon,Oliver Stone ," Charlie Sheen, Tom Berenger",8.0,1986
219,Hachi: A Dog's Tale,Lasse Hallström ," Richard Gere, Joan Allen",8.0,2009
220,La haine,Mathieu Kassovitz ," Vincent Cassel, Hubert Koundé",8.0,1995
221,Life of Brian,Terry Jones ," Graham Chapman, John Cleese",8.0,1979
222,Spotlight,Tom McCarthy ," Mark Ruffalo, Michael Keaton",8.0,2015
223,Hotel Rwanda,Terry George ," Don Cheadle, Sophie Okonedo",8.0,2004
224,Into the Wild,Sean Penn ," Emile Hirsch, Vince Vaughn",8.0,2007
225,Rush,Ron Howard ," Daniel Brühl, Chris Hemsworth",8.0,2013
226,Rebecca,Alfred Hitchcock ," Laurence Olivier, Joan Fontaine",8.0,1940
227,"Monsters, Inc.",Pete Docter ," Billy Crystal, John Goodman",8.0,2001
228,Andrei Rublev,Andrei Tarkovsky ," Anatoliy Solonitsyn, Ivan Lapikov",8.0,1966
229,Amores perros,Alejandro G. Iñárritu ," Emilio Echevarría, Gael García Bernal",8.0,2000
230,Ratsasan,Ram Kumar ," Vishnu Vishal, Amala Paul",8.0,2018
231,Rocky,John G. Avildsen ," Sylvester Stallone, Talia Shire",8.0,1976
232,Fa yeung nin wah,Kar-Wai Wong ," Tony Chiu-Wai Leung, Maggie Cheung",8.0,2000
233,Kaze no tani no Naushika,Hayao Miyazaki ," Sumi Shimamoto, Mahito Tsujimura",8.0,1984
234,It Happened One Night,Frank Capra ," Clark Gable, Claudette Colbert",8.0,1934
235,Koe no katachi,Naoko Yamada ," Miyu Irino, Saori Hayami",8.0,2016
236,Soul,Pete Docter ," Jamie Foxx, Tina Fey",8.0,2020
237,La battaglia di Algeri,Gillo Pontecorvo ," Brahim Hadjadj, Jean Martin",8.0,1966
238,Gangs of Wasseypur,Anurag Kashyap ," Manoj Bajpayee, Richa Chadha",8.0,2012
239,Du rififi chez les hommes,Jules Dassin ," Jean Servais, Carl Möhner",8.0,1955
240,Before Sunset,Richard Linklater ," Ethan Hawke, Julie Delpy",8.0,2004
241,Fanny och Alexander,Ingmar Bergman ," Bertil Guve, Pernilla Allwin",8.0,1982
242,Sunrise: A Song of Two Humans,F.W. Murnau ," George O'Brien, Janet Gaynor",8.0,1927
243,The Princess Bride,Rob Reiner ," Cary Elwes, Mandy Patinkin",8.0,1987
244,Trois couleurs: Rouge,Krzysztof Kieslowski ," Irène Jacob, Jean-Louis Trintignant",8.0,1994
245,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Hideaki Anno ," Megumi Ogata, Megumi Hayashibara",8.0,1997
246,Anand,Hrishikesh Mukherjee ," Rajesh Khanna, Amitabh Bachchan",8.0,1971
247,The Man Who Shot Liberty Valance,John Ford ," James Stewart, John Wayne",8.0,1962
248,"Paris, Texas",Wim Wenders ," Harry Dean Stanton, Nastassja Kinski",8.0,1984
249,Kumonosu-jo,Akira Kurosawa ," Toshirô Mifune, Minoru Chiaki",8.0,1957
